BR.1,"Need for scalable tools that autonomously create an accurate database of all infrastructure components, including points of inter- dependency with other infrastructure components", GC, M,InProgress, "1.1.3.1.2, 1.1.3.1.3, 1.1.4.2.4"
BR.2 ,"Developing and sharing standardized definitions, measurement protocols and strategies for data collection", GC , M ,InProgress,"1.1.3.4.1, 1.1.3.6.2, 1.1.3.4.1"
**BR.3**,"**Developing tools that utilize GIS information and online images, e.g., Google Maps, for data collection for gathering building information**", **GC**, **M**,**Implemented**,
BR.3.1,Develop framework for creating asset inventories, SP, M,Implemented,`UM Workflow <https://nheri-simcenter.github.io/BRAILS-Documentation/common/user_manual/workflow.html>`_
BR.3.2 ,Create workflow application for building inventory from framework modules, SP , M ,Implemented,`UM Workflow <https://nheri-simcenter.github.io/BRAILS-Documentation/common/user_manual/workflow.html>`_
BR.3.2 ,Create workflow application for transportation network from framework modules, SP , M ,Implemented,`Transportation Inventory Generator <https://github.com/NHERI-SimCenter/BRAILS/blob/master/brails/TranspInventoryGenerator.py>`_
BR.3.2 ,Create workflow application for developing building inventories from NHERI RAPID imagery, UF , M ,Implemented,`RAPID Tools <https://github.com/NHERI-SimCenter/BRAILS/tree/master/brails/rapidtools>`_
**BR.4**,**Developing modules for asset inventory workflows identified in BR4**,,,**InProgress**,
BR.4.1 ,Predicting if building is a soft-story building for earthquake simulations, UF , M ,Implemented, `UM Soft Story Classifier <https://nheri-simcenter.github.io/BRAILS-Documentation/common/user_manual/modules/softstoryClassifier.html>`_
BR.4.2 ,Predicting first floor height, SP , M ,Implemented, `Facade Parser <https://github.com/NHERI-SimCenter/BRAILS/tree/master/brails/modules/FacadeParser>`_
BR.4.3 ,Predicting roof height, SP , M ,Implemented, `Facade Parser <https://github.com/NHERI-SimCenter/BRAILS/tree/master/brails/modules/FacadeParser>`_
BR.4.4 ,Predicting eave height, SP , M,Implemented, `Facade Parser <https://github.com/NHERI-SimCenter/BRAILS/tree/master/brails/modules/FacadeParser>`_
BR.4.5 ,Predicting eave length, SP , D,Implemented, `Facade Parser <https://github.com/NHERI-SimCenter/BRAILS/tree/master/brails/modules/FacadeParser>`_
BR.4.6 ,Predicting roof shape, SP , M ,Implemented, `UM Roof Classifier <https://nheri-simcenter.github.io/BRAILS-Documentation/common/user_manual/modules/roofClassifier.html>`_
BR.4.7 ,Predicting roof pitch, SP , M ,Implemented, `Facade Parser <https://github.com/NHERI-SimCenter/BRAILS/tree/master/brails/modules/FacadeParser>`_
BR.4.8 ,Predicting roof cover material, UF , M ,Implemented, `Roof Cover Classifier <https://github.com/NHERI-SimCenter/BRAILS/tree/master/brails/modules/RoofCoverClassifier>`_
BR.4.9 ,Predicting window area, SP , M ,Implemented, `Facade Parser <https://github.com/NHERI-SimCenter/BRAILS/tree/master/brails/modules/FacadeParser>`_
BR.4.10 ,Predicting number of floors, SP , M ,Implemented, `UM Number of Floor Detector <https://nheri-simcenter.github.io/BRAILS-Documentation/common/user_manual/modules/nFloorDetector.html>`_
BR.4.11 ,Classifying elevated building, SP , M ,Implemented, `UM Foundation Elevation Classifier <https://nheri-simcenter.github.io/BRAILS-Documentation/common/user_manual/modules/foundationElevationClassifier.html>`_
BR.4.12 ,Predicting occupancy type, SP , M ,Implemented, `UM Occupancy Classifier <https://nheri-simcenter.github.io/BRAILS-Documentation/common/user_manual/modules/occupancyClassifier.html>`_
BR.4.13 ,Predicting Year Built, SP , M ,Implemented, `UM Year Built Classifier <https://nheri-simcenter.github.io/BRAILS-Documentation/common/user_manual/modules/yearClassifier.html>`_
BR.4.14 ,Predicting attached garage, SP , M ,Implemented, `UM Garage Detector <https://nheri-simcenter.github.io/BRAILS-Documentation/common/user_manual/modules/garageDetector.html>`_
BR.4.15 ,Predicting presence of masonry chimney, UF , D ,Implemented, `UM Chimney Detector <https://nheri-simcenter.github.io/BRAILS-Documentation/common/user_manual/modules/chimneyDetector.html>`_
BR.4.16 ,Predicting building material, SP , M ,InProgress, 1.1.3.1.2
BR.4.17 ,Predicting Structural Type, SP , M ,Implemented, `Inventory Generator <https://github.com/NHERI-SimCenter/BRAILS/blob/master/brails/InventoryGenerator.py>`_
**BR.5**,**DesignSafe integration to provide access to GPU**,,,**Implemented**,
BR.5.1,Create JupyterHub notebook at DesignSafe for building asset inventory workflow usage, SP, M,Implemented, `Example Notebooks <https://github.com/NHERI-SimCenter/BRAILS/tree/master/notebooks>`_
BR.5.2,"For classification done at DesignSafe, store images and meta data for BE Database", SP, M,Implemented, `Example Notebooks <https://github.com/NHERI-SimCenter/BRAILS/tree/master/notebooks>`_
BR.5.3,Create JupyterHub notebook at DesignSafe for individual modules to demonstrate immediate results, SP, M,Implemented, `Example Notebooks <https://github.com/NHERI-SimCenter/BRAILS/tree/master/notebooks>`_
BR.6,Work to gather data for Module Validation/Verification/Training, SP, M,InProgress,"1.1.3.1.2, 1.1.3.1.5"
