,BldgID,Address,City,State,Latitude,Longitude,OccupancyClass,BuildingType,UseCode,BldgClass,DesignLevel,YearBuiltNJDEP,YearBuiltMODIV,NumberofStories0,NumberofStories1,NoUnits,PlanArea0,PlanArea1,FoundationType,SplitLevel,ElevationR0,ElevationR1,FirstFloorHt0,FirstFloorHt1,FloodZone,DSWI,DSWII,DSWIII,DSWIV,WindZone,AvgJanTemp,RoofShape,RoofSlope,RoofCover,RoofSystem,MeanRoofHt,WindowArea,Garage,HazusClassW,HazusClassIN,HazusClassWA,AnalysisDefault,AnalysisAdopted,Modifications,z0
1,NJBF000081138,14 W LEE AVE,Absecon,NJ,39.41770296,-74.50360821,RES1,3001,,17,NE,1956,1956,3101,2,1,1310.670302,1310.670302,3505,NO,19.64,33.89,3,-2.97,6112,112.44902,122.279935,131.916872,138.112949,I,Above,Gable,0,5701,,26.76835396,0,0,,,,1,1,,0.35
2,NJBF000080830,28 W SUMMIT AVE,Absecon,NJ,39.41651021,-74.5040753,RES1,3001,,17,NE,1948,1948,3101,2,1,1061.415481,1061.415481,3505,NO,33.52,47.46,3,6.72,6112,112.447756,122.28405,131.921695,138.122775,I,Above,Gable,0,5701,,40.49340431,0,0,,,,1,1,,0.35
3,NJBF000083830,6353 MONMOUTH DRIVE,Hamilton,NJ,39.45048978,-74.75018492,RES1,3001,,17,NE,1954,1954,3101,1,1,1047.333566,1047.333566,3507,NO,18.92,31.75,1,2.02,6112,108.85847,118.403195,128.083472,132.640181,I,Above,Gable,0,5701,,25.33482164,0,0,,,,1,1,,0.35
4,NJBF000087414,2004 SYCAMORE LANE,Hamilton,NJ,39.53318557,-74.79076398,RES1,3001,,17,NE,1977,1977,3102,2,1,1234.317665,1234.317665,3507,NO,31.43,43.06,1,1.96,6112,108.322128,117.335658,127.044237,130.766349,I,Above,Hip,0,5701,,37.24709902,0,1.1,,,,1,1,,0.35
5,NJBF000083883,35 PENNINGTON AVENUE,Hamilton,NJ,39.45108384,-74.72759818,RES1,3001,,17,NE,1924,1924,3103,2,1,936.4560766,936.4560766,3505,NO,34.55,47.39,3,6.76,6112,109.034823,118.647832,128.31928,133.072236,I,Above,Gable,0,5701,,40.96825807,0,0,,,,1,1,,0.35
6,NJBF000072831,135 GARNETT LANE,Egg Harbor,NJ,39.37511675,-74.58604463,RES1,3001,,16,NE,2005,2005,3102,2,1,2579.278413,2579.278413,3507,NO,29,37.43,1,2.6,6112,110.96108,121.28815,130.953681,137.12639,I,Above,Gable,0,5701,,33.21916734,0,0,,,,1,1,,0.35
7,NJBF000072900,122 GARNETT LANE,Egg Harbor,NJ,39.37554697,-74.58580994,RES1,3001,,16,NE,2005,2005,3102,2,1,2441.260454,2441.260454,3507,NO,27.38,33.19,1,0.27,6112,110.962265,121.287807,130.952318,137.124636,I,Above,Hip,0,5701,,30.28394272,0,0,,,,1,1,,0.35
8,NJBF000079059,332 MONTCLAIR DR,Pleasantville,NJ,39.40925267,-74.50079286,RES3C,3001,,16,E,1954,1954,3303,1,1,1601.592704,1601.592704,3507,NO,16.67,24.08,1,0.87,6112,112.572563,122.417384,132.068809,138.300759,I,Above,Gable,0,,,20.37804612,0,1.1,,,,1,1,,0.35
9,NJBF000076320,128 N FRANKLIN BLVD,Pleasantville,NJ,39.39295964,-74.51789825,RES1,3001,,15,NE,1943,1943,3101,2,1,1062.463152,1062.463152,3505,NO,32.89,42.43,3,8.08,6112,112.334907,122.284643,131.934622,138.228883,I,Above,Hip,0,5701,,37.66345925,0,0,,,,1,1,,0.35
10,NJBF000084559,1400 ROUTE 50,Hamilton,NJ,39.46562584,-74.71979952,GOV2,3001,,,E,1966,1966,3401,1,1,6491.408389,6491.408389,3507,NO,19.76,31.97,1,2.77,6112,109.068201,118.621733,128.280818,133.010955,I,Above,Gable,0,5701,,25.86659037,0,0,,,,1,1,,1
